title,price,location,year,mileage,list_date,URL,source
2007 Harley Davidson Street Glide,"$8,700",mukilteo,2007,61k mi,7/7,https://seattle.craigslist.org/sno/mcy/d/mukilteo-2007-harley-davidson-street/7640666702.html,craigslist
2024 KTM 450,"$11,000",kittitas,2024,16mi,7/7,https://seattle.craigslist.org/see/mcy/d/kittitas-2024-ktm-450/7640663568.html,craigslist
2017 Indian Chieftain® Dark Horse,"$16,500",puyallup,2017,"6,300mi",7/7,https://seattle.craigslist.org/tac/mcy/d/puyallup-2017-indian-chieftain-dark/7640657104.html,craigslist
2011 Harley Heritage Softail,"$13,999",lacey,2011,14k mi,7/7,https://seattle.craigslist.org/oly/mcy/d/lacey-2011-harley-heritage-softail/7640647880.html,craigslist
2009 Harley Davidson Sportster 883XL,"$4,800",hoquiam,2009,"2,400mi",7/7,https://seattle.craigslist.org/sno/mcy/d/hoquiam-2009-harley-davidson-sportster/7640615654.html,craigslist
"FLASH SALE: New 32MPH 2000W E-Scooters, 60V 20AH, Up to 30mile Range","$1,200",seattle,-1,1mi,7/7,https://seattle.craigslist.org/est/mcd/d/seattle-flash-sale-new-32mph-2000w/7640614857.html,craigslist
Two Honda CT-90s,$1,bremerton,-1,"2,290mi",7/6,https://seattle.craigslist.org/kit/mcy/d/bremerton-two-honda-ct-90s/7640600922.html,craigslist
kawasaki ninja 250R,"$2,000",seattle,-1,"2,500mi",7/6,https://seattle.craigslist.org/see/mcy/d/seattle-kawasaki-ninja-250r/7640599418.html,craigslist
2008 Yamaha FJR1300 AES lots of upgrades 19k mi,"$5,300",spanaway,2008,19k mi,7/6,https://seattle.craigslist.org/see/mcy/d/spanaway-2008-yamaha-fjr1300-aes-lots/7640597508.html,craigslist
YZ450F,"$2,600",tacoma,-1,300mi,7/6,https://seattle.craigslist.org/tac/mcy/d/tacoma-yz450f/7640597362.html,craigslist
2011 Suzuki GSX-R600,"$8,000",puyallup,2011,"7,109mi",7/6,https://seattle.craigslist.org/tac/mcy/d/puyallup-2011-suzuki-gsx-r600/7640596294.html,craigslist
2013 Harley Davidson Roadglide Ultra. Low Miles-Clean Title. Mint Cond,"$13,950",lynnwood,2013,15k mi,7/6,https://seattle.craigslist.org/sno/mcy/d/lynnwood-2013-harley-davidson-roadglide/7640594831.html,craigslist
2017 Indian Chief Vintage. Excellent Condition.  Low Miles-Clean Title,"$13,950",lynnwood,2017,28k mi,7/6,https://seattle.craigslist.org/sno/mcy/d/lynnwood-2017-indian-chief-vintage/7640594033.html,craigslist
BMW R1200RT,"$8,500",mill,-1,18k mi,7/6,https://seattle.craigslist.org/see/mcy/d/mill-creek-bmw-r1200rt/7640593558.html,craigslist
2021 Indian Scout Sixty ABS. Low Miliage-Clean Title!,"$9,950",lynnwood,2021,"3,000mi",7/6,https://seattle.craigslist.org/sno/mcy/d/lynnwood-2021-indian-scout-sixty-abs/7640593384.html,craigslist
Zero SR/S premium 2020,"$12,900",kingston,2020,"2,000mi",7/6,https://seattle.craigslist.org/kit/mcy/d/kingston-zero-sr-premium-2020/7640592917.html,craigslist
Harley Davidson Road King with thousands in upgrades,"$6,499",wenatchee,-1,"6,500mi",7/6,https://seattle.craigslist.org/est/mcy/d/wenatchee-harley-davidson-road-king/7640587703.html,craigslist
V-Star 1300 Custom,"$7,500",bothell,1300,10k mi,7/6,https://seattle.craigslist.org/est/mcy/d/bothell-star-1300-custom/7640587277.html,craigslist
Ktm 450,"$5,000",camano,-1,12mi,7/6,https://seattle.craigslist.org/see/mcy/d/camano-island-ktm-450/7640586988.html,craigslist
2012 Victory Vision Touring,"$9,000",lacey,2012,"5,423mi",7/6,https://seattle.craigslist.org/oly/mcy/d/lacey-2012-victory-vision-touring/7640586303.html,craigslist
2000 Cagiva Gran Canyon,"$5,000",seattle,2000,10k mi,7/6,https://seattle.craigslist.org/see/mcy/d/seattle-2000-cagiva-gran-canyon/7640586146.html,craigslist
Honda CB 750,"$4,200",tumwater,-1,13k mi,7/6,https://seattle.craigslist.org/oly/mcy/d/tumwater-honda-cb-750/7640580953.html,craigslist
Honda CB700 SC Nighthawk + parts bike + parts,"$3,750",spokane,-1,23k mi,7/6,https://seattle.craigslist.org/see/mcy/d/spokane-honda-cb700-sc-nighthawk-parts/7640579400.html,craigslist
BMW F650 Funduro,"$3,200",seattle,-1,38k mi,7/6,https://seattle.craigslist.org/see/mcy/d/seattle-bmw-f650-funduro/7640568369.html,craigslist
KX 250F,"$3,675",federal,-1,-1,7/6,https://seattle.craigslist.org/skc/mcy/d/federal-way-kx-250f/7640565273.html,craigslist
Ultra Classic,"$9,500",oakville,-1,17k mi,7/6,https://seattle.craigslist.org/oly/mcy/d/oakville-ultra-classic/7640559853.html,craigslist
2012 Harley Davidson Road Glide Custom 103. Priced For Quick Sale!!!,"$12,950",lynnwood,2012,32k mi,7/6,https://seattle.craigslist.org/sno/mcy/d/lynnwood-2012-harley-davidson-road/7640557435.html,craigslist
2014 TRIUMPH AMERICA LT**UPPER END EDITION**,"$6,498",bellevue,2014,17k mi,7/6,https://seattle.craigslist.org/est/mcd/d/bellevue-2014-triumph-america-ltupper/7640549583.html,craigslist
FS: 2020 Honda Africa Twin Adventure Sports ES DCT - 3845 miles,"$3,845",seattle,2020,"3,845mi",7/6,https://seattle.craigslist.org/see/mcd/d/seattle-fs-2020-honda-africa-twin/7640548611.html,craigslist
Honda 1800 VTX model C2,"$6,000",bremerton,1800,19k mi,7/6,https://seattle.craigslist.org/kit/mcy/d/bremerton-honda-1800-vtx-model-c2/7640547694.html,craigslist
"2011 Honda PCX 125 Cycle - 3,470 miles","$2,599",seattle,2011,"3,470mi",7/6,https://seattle.craigslist.org/see/mcy/d/seattle-2011-honda-pcx-125-cycle-miles/7640544548.html,craigslist
"FS: 2002 BMW R1150 GS - 10,689 mi","$8,199",seattle,2002,11k mi,7/6,https://seattle.craigslist.org/see/mcd/d/seattle-fs-2002-bmw-r1150-gs-mi/7640544238.html,craigslist
FS: 2019 Honda CRF450L - 2442 miles,"$8,999",seattle,2019,"2,442mi",7/6,https://seattle.craigslist.org/see/mcd/d/seattle-fs-2019-honda-crf450l-miles/7640540629.html,craigslist
Kawasaki Vulcan 900,"$39,500",seabeck,-1,"6,825mi",7/6,https://seattle.craigslist.org/kit/mcy/d/seabeck-kawasaki-vulcan-900/7640537702.html,craigslist
2006 Harley Davidson Road King Police,"$10,500",stanwood,2006,48k mi,7/6,https://seattle.craigslist.org/sno/mcy/d/stanwood-2006-harley-davidson-road-king/7640535169.html,craigslist
FS: 2020 Kawasaki KLX230 -320 miles,"$4,399",seattle,2020,320mi,7/6,https://seattle.craigslist.org/see/mcd/d/seattle-fs-2020-kawasaki-klx-miles/7640533860.html,craigslist
1992 Suzuki DR 650,"$2,900",bellevue,1992,12k mi,7/6,https://seattle.craigslist.org/est/mcy/d/bellevue-1992-suzuki-dr-650/7640533591.html,craigslist
"2023 HUSQVARNA 701 ENDURO ADV RIDE ANYWHERE! SAVE $1,000 AT CLEMS!","$11,999",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-701-enduro-adv/7640532401.html,craigslist
1985 Kawasaki Ninja 600R ZX600 no title parts bike,$300,seattle,1985,12k mi,7/6,https://seattle.craigslist.org/see/mcy/d/seattle-1985-kawasaki-ninja-600r-zx600/7640529472.html,craigslist
"2023 HUSQVARNA FC 450 ROCKSTAR EDITION STEWART! SAVE $1,500! CLEMS!","$10,699",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-fc-450-rockstar/7640528495.html,craigslist
2024 KTM 300SX TBI (NO SET-UP FEE) -$440) @ NW Euro Cycles,"$9,399",tacoma,2024,1mi,7/6,https://seattle.craigslist.org/tac/mcd/d/tacoma-2024-ktm-300sx-tbi-no-set-up-fee/7640526767.html,craigslist
2003 Harley Road King 100 Year Anniversary Edition,"$8,450",granite,2003,17k mi,7/6,https://seattle.craigslist.org/see/mcy/d/granite-falls-2003-harley-road-king-100/7640525734.html,craigslist
